Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Media_Base,Ganho_Bruto,Eficiencia_Media
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.7,0.2,54.679,54.40000000000094,49.0,5.679,0.21033333333333595
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.05,70.63,70.59999999999947,67.0,3.63,0.20166666666666686
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.1,66.768,66.59999999999908,63.0,3.768,0.20933333333333354
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.8,0.2,59.882,59.59999999999902,56.0,3.882,0.21566666666666667
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.05,77.586,77.80000000000148,76.0,1.586,0.17622222222222428
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.1,73.766,73.80000000000138,72.0,1.766,0.19622222222222477
MP_SE_22_PROMOTOR,Cargo 1,MULTIPLA_5,0.9,0.2,65.927,65.8000000000012,64.0,1.927,0.21411111111111375
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.05,34.312,32.79999999999949,27.0,7.312,0.25213793103448345
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.1,33.274,31.799999999999493,26.0,7.274,0.2508275862068973
AL_CE_20,Cargo 1,MULTIPLA_5,0.5,0.2,29.835,28.799999999999518,23.0,6.835,0.23568965517241444
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.05,39.049,37.59999999999929,33.0,6.049,0.26300000000000145
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.1,36.924,35.59999999999934,31.0,5.924,0.2575652173913056
AL_CE_20,Cargo 1,MULTIPLA_5,0.6,0.2,33.723,32.599999999999405,28.0,5.723,0.24882608695652278
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.05,42.977,41.59999999999922,38.0,4.977,0.27649999999999975
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.1,40.827,39.59999999999925,36.0,4.827,0.2681666666666667
AL_CE_20,Cargo 1,MULTIPLA_5,0.7,0.2,36.556,35.59999999999934,32.0,4.556,0.2531111111111111
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.05,46.498,45.40000000000084,43.0,3.498,0.2915000000000003
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.1,44.329,43.40000000000081,41.0,3.329,0.2774166666666667
AL_CE_20,Cargo 1,MULTIPLA_5,0.8,0.2,39.106,38.40000000000072,36.0,3.106,0.258833333333333
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.05,50.872,50.19999999999932,49.0,1.872,0.3119999999999998
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.1,47.796,47.19999999999947,46.0,1.796,0.2993333333333334
AL_CE_20,Cargo 1,MULTIPLA_5,0.9,0.2,42.586,42.19999999999975,41.0,1.586,0.26433333333333325
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.05,22.527,23.0,19.0,3.527,0.1763499999999998
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.1,21.57,22.0,18.0,3.57,0.1784999999999999
AL_CE_20,Cargo 2,MULTIPLA_5,0.5,0.2,19.669,20.0,16.0,3.669,0.1834500000000001
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.05,25.629,26.200000000000458,23.0,2.629,0.1643125
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.1,24.721,25.200000000000447,22.0,2.721,0.1700625
AL_CE_20,Cargo 2,MULTIPLA_5,0.6,0.2,22.757,23.200000000000426,20.0,2.757,0.1723125
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.05,28.836,29.400000000000503,27.0,1.836,0.15300000000000002
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.1,27.922,28.400000000000468,26.0,1.922,0.16016666666666668
AL_CE_20,Cargo 2,MULTIPLA_5,0.7,0.2,25.11,25.40000000000035,23.0,2.11,0.1758333333333332
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.05,32.187,32.599999999999405,31.0,1.187,0.148375
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.1,30.352,30.59999999999946,29.0,1.352,0.169
AL_CE_20,Cargo 2,MULTIPLA_5,0.8,0.2,27.392,27.59999999999956,26.0,1.392,0.174
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.05,35.506,35.79999999999978,35.0,0.506,0.1265
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.1,33.56,33.79999999999959,33.0,0.56,0.14
AL_CE_20,Cargo 2,MULTIPLA_5,0.9,0.2,29.674,29.79999999999951,29.0,0.674,0.1685
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.05,22.581,23.0,19.0,3.581,0.17904999999999976
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.1,21.874,22.0,18.0,3.874,0.19370000000000023
AL_CE_20,Cargo 3,MULTIPLA_5,0.5,0.2,19.815,20.0,16.0,3.815,0.19074999999999986
