Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio,Eficiencia_Media
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.1,22.461,22.0,0.461,0.22305000000000022
PC_GO_16,Cargo 1,MULTIPLA_5,0.5,0.2,20.474,20.0,0.474,0.22369999999999995
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.05,25.665,25.200000000000447,0.46499999999955255,0.2290625
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.1,24.677,24.200000000000436,0.47699999999956344,0.2298125
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.2,22.541,22.20000000000041,0.3409999999995889,0.2213125
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.05,28.788,28.400000000000468,0.3879999999995307,0.23233333333333317
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.1,27.646,27.400000000000432,0.2459999999995671,0.22049999999999992
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.2,24.719,24.400000000000304,0.3189999999996944,0.22658333333333353
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.05,31.748,31.599999999999433,0.1480000000005675,0.2185
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.1,29.795,29.59999999999949,0.19500000000050932,0.224375
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.2,26.785,26.5999999999996,0.18500000000040018,0.223125
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.05,34.774,34.799999999999685,-0.025999999999687134,0.1935
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.1,32.84,32.79999999999949,0.040000000000509316,0.21
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.2,28.877,28.799999999999518,0.07700000000048385,0.21925
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.05,57.896,54.0,3.896,0.5335862068965554
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.1,51.08,48.0,3.08,0.5265517241379338
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.2,37.884,36.0,1.884,0.5162413793103466
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.05,66.368,63.0,3.368,0.5358297872340416
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.1,59.912,57.0,2.912,0.5309787234042554
