Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Medio
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.1,21.527,22.0,-0.473
AL_CE_20,Cargo 4,MULTIPLA_5,0.5,0.2,19.613,20.0,-0.387
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.05,25.683,26.200000000000458,-0.5170000000004584
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.1,24.846,25.200000000000447,-0.35400000000044746
AL_CE_20,Cargo 4,MULTIPLA_5,0.6,0.2,22.849,23.200000000000426,-0.35100000000042564
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.05,28.988,29.400000000000503,-0.412000000000502
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.1,27.986,28.400000000000468,-0.4140000000004693
AL_CE_20,Cargo 4,MULTIPLA_5,0.7,0.2,25.111,25.40000000000035,-0.28900000000034926
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.05,32.303,32.599999999999405,-0.29699999999940335
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.1,30.409,30.59999999999946,-0.19099999999946157
AL_CE_20,Cargo 4,MULTIPLA_5,0.8,0.2,27.432,27.59999999999956,-0.1679999999995598
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.05,35.552,35.79999999999978,-0.24799999999977446
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.1,33.654,33.79999999999959,-0.14599999999959254
AL_CE_20,Cargo 4,MULTIPLA_5,0.9,0.2,29.693,29.79999999999951,-0.10699999999950888
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.05,22.441,23.0,-0.559
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.1,21.49,22.0,-0.51
AL_CE_20,Cargo 5,MULTIPLA_5,0.5,0.2,19.573,20.0,-0.427
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.05,24.71,25.200000000000447,-0.49000000000044747
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.1,23.806,24.200000000000436,-0.39400000000043656
AL_CE_20,Cargo 5,MULTIPLA_5,0.6,0.2,21.741,22.20000000000041,-0.4590000000004111
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.05,28.035,28.400000000000468,-0.3650000000004693
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.1,26.989,27.400000000000432,-0.4110000000004329
AL_CE_20,Cargo 5,MULTIPLA_5,0.7,0.2,24.043,24.400000000000304,-0.3570000000003056
AL_CE_20,Cargo 5,MULTIPLA_5,0.8,0.05,31.338,31.599999999999433,-0.26199999999943246
AL_CE_20,Cargo 5,MULTIPLA_5,0.8,0.1,29.306,29.59999999999949,-0.29399999999949067
AL_CE_20,Cargo 5,MULTIPLA_5,0.8,0.2,26.366,26.5999999999996,-0.23399999999959983
AL_CE_20,Cargo 5,MULTIPLA_5,0.9,0.05,34.647,34.799999999999685,-0.15299999999968714
AL_CE_20,Cargo 5,MULTIPLA_5,0.9,0.1,32.639,32.79999999999949,-0.1609999999994907
AL_CE_20,Cargo 5,MULTIPLA_5,0.9,0.2,28.628,28.799999999999518,-0.17199999999951615
AL_CE_20,Cargo 6,MULTIPLA_5,0.5,0.05,23.961,23.0,0.961
