simulacao_id,letra_chutada,nota_liquida,acertos,erros
767,E,55,75,20
768,E,59,77,18
769,C,43,69,26
770,E,59,77,18
771,C,43,69,26
772,C,43,69,26
773,C,43,69,26
774,C,51,73,22
775,E,61,78,17
776,C,53,74,21
777,C,43,69,26
778,C,41,68,27
779,C,49,72,23
780,C,49,72,23
781,C,43,69,26
782,C,43,69,26
783,C,45,70,25
784,C,45,70,25
785,C,43,69,26
786,C,47,71,24
787,C,47,71,24
788,C,49,72,23
789,C,37,66,29
790,C,45,70,25
791,C,43,69,26
792,E,51,73,22
793,E,55,75,20
794,E,55,75,20
795,C,45,70,25
796,C,41,68,27
797,E,51,73,22
798,C,43,69,26
799,C,47,71,24
800,C,45,70,25
801,E,55,75,20
802,E,55,75,20
803,C,41,68,27
804,C,49,72,23
805,C,53,74,21
806,C,43,69,26
807,C,45,70,25
808,C,51,73,22
809,E,51,73,22
810,E,57,76,19
811,C,43,69,26
812,C,47,71,24
813,E,51,73,22
814,C,39,67,28
815,C,41,68,27
816,C,37,66,29
817,C,41,68,27
818,C,43,69,26
819,E,55,75,20
820,C,47,71,24
821,E,59,77,18
822,C,49,72,23
823,E,51,73,22
824,C,45,70,25
825,E,59,77,18
826,C,47,71,24
827,C,41,68,27
828,C,47,71,24
829,E,55,75,20
830,C,47,71,24
831,C,49,72,23
832,C,47,71,24
833,C,49,72,23
834,C,45,70,25
835,C,39,67,28
836,C,41,68,27
837,E,51,73,22
838,E,53,74,21
839,C,39,67,28
840,C,45,70,25
841,E,53,74,21
842,C,45,70,25
843,C,41,68,27
844,C,43,69,26
845,C,41,68,27
846,C,49,72,23
847,C,37,66,29
848,C,41,68,27
849,C,43,69,26
850,C,51,73,22
851,C,35,65,30
852,C,45,70,25
853,C,45,70,25
854,C,39,67,28
855,E,55,75,20
856,C,45,70,25
857,C,41,68,27
858,C,39,67,28
859,E,49,72,23
860,C,47,71,24
861,C,41,68,27
862,C,39,67,28
863,C,49,72,23
864,C,53,74,21
865,C,53,74,21
866,C,41,68,27
867,E,57,76,19
868,E,61,78,17
869,C,45,70,25
870,C,41,68,27
871,E,51,73,22
872,C,43,69,26
873,C,47,71,24
874,E,51,73,22
875,C,41,68,27
876,C,45,70,25
877,C,47,71,24
878,E,55,75,20
879,E,51,73,22
880,E,57,76,19
881,C,39,67,28
882,E,63,79,16
883,C,51,73,22
884,E,51,73,22
885,C,51,73,22
886,C,41,68,27
887,C,47,71,24
888,C,43,69,26
889,C,35,65,30
890,C,45,70,25
891,C,47,71,24
892,C,45,70,25
893,C,43,69,26
894,E,59,77,18
895,E,55,75,20
896,C,47,71,24
897,C,47,71,24
898,C,49,72,23
899,C,47,71,24
900,E,55,75,20
901,E,57,76,19
902,C,51,73,22
903,C,49,72,23
904,C,43,69,26
905,E,51,73,22
906,C,51,73,22
907,C,45,70,25
908,C,45,70,25
909,E,49,72,23
910,C,43,69,26
911,C,45,70,25
912,C,45,70,25
913,C,45,70,25
914,C,45,70,25
915,E,61,78,17
916,C,43,69,26
917,C,47,71,24
918,C,49,72,23
919,C,45,70,25
920,C,55,75,20
921,C,47,71,24
922,C,41,68,27
923,E,51,73,22
924,C,37,66,29
925,C,49,72,23
926,C,53,74,21
927,C,45,70,25
928,C,37,66,29
929,E,59,77,18
930,C,49,72,23
931,C,41,68,27
932,E,53,74,21
933,C,41,68,27
934,C,45,70,25
935,C,51,73,22
936,C,39,67,28
937,E,53,74,21
938,C,43,69,26
939,C,43,69,26
940,C,49,72,23
941,C,43,69,26
942,E,55,75,20
943,E,55,75,20
944,C,49,72,23
945,C,53,74,21
946,E,55,75,20
947,E,53,74,21
948,E,61,78,17
949,C,45,70,25
950,E,53,74,21
951,C,47,71,24
952,C,41,68,27
953,E,53,74,21
954,C,49,72,23
955,C,37,66,29
956,C,41,68,27
957,E,57,76,19
958,C,45,70,25
959,C,45,70,25
960,C,41,68,27
961,C,49,72,23
962,E,59,77,18
963,C,49,72,23
964,C,49,72,23
965,C,49,72,23
966,C,45,70,25
967,C,43,69,26
968,C,37,66,29
969,C,45,70,25
970,C,45,70,25
971,C,51,73,22
972,C,47,71,24
973,C,41,68,27
974,C,41,68,27
975,C,45,70,25
976,C,49,72,23
977,C,47,71,24
978,E,57,76,19
979,C,41,68,27
980,C,43,69,26
981,C,49,72,23
982,C,43,69,26
983,C,57,76,19
984,E,57,76,19
985,C,43,69,26
986,C,41,68,27
987,E,63,79,16
988,C,39,67,28
989,C,45,70,25
990,C,43,69,26
991,C,45,70,25
992,C,45,70,25
993,C,45,70,25
994,C,41,68,27
995,C,43,69,26
996,C,49,72,23
997,E,57,76,19
998,C,39,67,28
999,E,53,74,21
1000,C,49,72,23
1001,C,47,71,24
1002,C,49,72,23
1003,C,41,68,27
1004,E,59,77,18
1005,C,49,72,23
1006,C,41,68,27
1007,E,61,78,17
1008,C,41,68,27
1009,E,51,73,22
1010,E,47,71,24
1011,C,51,73,22
1012,E,47,71,24
1013,C,45,70,25
1014,C,47,71,24
1015,C,49,72,23
1016,C,45,70,25
1017,C,47,71,24
1018,E,61,78,17
1019,E,59,77,18
1020,C,47,71,24
1021,C,41,68,27
1022,C,49,72,23
1023,C,47,71,24
1024,C,49,72,23
1025,C,39,67,28
1026,E,51,73,22
1027,C,43,69,26
1028,C,43,69,26
1029,C,45,70,25
1030,C,41,68,27
1031,C,45,70,25
1032,E,57,76,19
1033,E,51,73,22
1034,C,43,69,26
1035,E,47,71,24
1036,C,45,70,25
1037,C,41,68,27
1038,C,47,71,24
1039,E,57,76,19
1040,E,51,73,22
1041,E,49,72,23
1042,C,43,69,26
1043,C,41,68,27
1044,C,47,71,24
1045,C,49,72,23
1046,E,61,78,17
1047,C,53,74,21
1048,C,41,68,27
1049,C,51,73,22
1050,C,41,68,27
1051,C,47,71,24
1052,C,43,69,26
1053,E,59,77,18
1054,C,43,69,26
1055,C,47,71,24
1056,C,47,71,24
1057,C,41,68,27
1058,C,41,68,27
1059,C,49,72,23
1060,C,41,68,27
1061,C,43,69,26
1062,C,41,68,27
1063,C,49,72,23
1064,E,55,75,20
1065,E,51,73,22
1066,C,45,70,25
1067,C,43,69,26
1068,C,41,68,27
1069,C,51,73,22
1070,C,45,70,25
1071,C,41,68,27
1072,C,51,73,22
1073,C,43,69,26
1074,C,47,71,24
1075,E,59,77,18
1076,C,47,71,24
1077,C,43,69,26
1078,C,53,74,21
1079,C,37,66,29
1080,C,41,68,27
1081,C,47,71,24
1082,C,49,72,23
1083,C,41,68,27
1084,C,47,71,24
1085,E,51,73,22
1086,E,51,73,22
1087,C,37,66,29
1088,C,37,66,29
1089,C,49,72,23
1090,C,43,69,26
1091,C,45,70,25
1092,C,49,72,23
1093,E,51,73,22
1094,C,39,67,28
1095,E,47,71,24
1096,C,41,68,27
1097,E,63,79,16
1098,C,41,68,27
1099,C,47,71,24
1100,C,41,68,27
1101,C,47,71,24
1102,C,47,71,24
1103,C,39,67,28
1104,C,47,71,24
1105,C,39,67,28
1106,E,55,75,20
1107,C,45,70,25
1108,C,47,71,24
1109,C,45,70,25
1110,C,41,68,27
1111,E,55,75,20
1112,C,55,75,20
1113,C,45,70,25
1114,E,55,75,20
1115,E,53,74,21
1116,C,41,68,27
1117,C,37,66,29
1118,C,45,70,25
1119,E,55,75,20
1120,C,43,69,26
1121,C,45,70,25
1122,C,41,68,27
1123,C,43,69,26
1124,C,43,69,26
1125,C,41,68,27
1126,C,41,68,27
1127,C,47,71,24
1128,E,53,74,21
1129,C,43,69,26
1130,C,47,71,24
1131,C,41,68,27
1132,C,47,71,24
1133,C,37,66,29
1134,E,55,75,20
1135,C,37,66,29
1136,C,49,72,23
1137,C,41,68,27
1138,E,49,72,23
1139,C,47,71,24
1140,C,49,72,23
1141,E,55,75,20
1142,C,43,69,26
1143,C,39,67,28
1144,C,47,71,24
1145,C,39,67,28
1146,C,47,71,24
1147,C,45,70,25
1148,C,41,68,27
1149,C,45,70,25
1150,C,45,70,25
1151,C,43,69,26
1152,C,45,70,25
1153,C,43,69,26
1154,C,39,67,28
1155,E,53,74,21
1156,C,47,71,24
1157,C,47,71,24
1158,C,43,69,26
1159,C,37,66,29
1160,C,45,70,25
1161,E,55,75,20
1162,C,47,71,24
1163,E,55,75,20
1164,E,55,75,20
1165,E,51,73,22
1166,C,53,74,21
1167,E,59,77,18
1168,E,51,73,22
1169,C,47,71,24
1170,C,41,68,27
1171,C,43,69,26
1172,C,45,70,25
1173,C,49,72,23
1174,E,57,76,19
1175,C,47,71,24
1176,E,51,73,22
1177,C,45,70,25
1178,C,43,69,26
1179,C,39,67,28
1180,C,55,75,20
1181,C,43,69,26
1182,C,41,68,27
1183,E,55,75,20
1184,C,43,69,26
1185,C,49,72,23
1186,C,45,70,25
1187,C,49,72,23
1188,E,57,76,19
1189,E,55,75,20
1190,C,49,72,23
1191,C,45,70,25
1192,C,49,72,23
1193,C,53,74,21
1194,C,47,71,24
1195,C,41,68,27
1196,C,45,70,25
1197,C,45,70,25
1198,E,53,74,21
1199,E,53,74,21
1200,C,47,71,24
1201,C,41,68,27
1202,C,47,71,24
1203,C,41,68,27
1204,C,43,69,26
1205,C,49,72,23
1206,C,47,71,24
1207,C,45,70,25
1208,C,43,69,26
1209,C,37,66,29
1210,C,43,69,26
1211,C,45,70,25
1212,C,39,67,28
1213,C,45,70,25
1214,C,41,68,27
1215,E,47,71,24
1216,C,47,71,24
1217,C,41,68,27
1218,C,43,69,26
1219,C,43,69,26
1220,C,41,68,27
1221,C,47,71,24
1222,C,45,70,25
1223,C,43,69,26
1224,C,41,68,27
1225,E,53,74,21
1226,C,47,71,24
1227,C,37,66,29
1228,E,59,77,18
1229,C,41,68,27
1230,C,47,71,24
1231,C,45,70,25
1232,C,57,76,19
1233,C,49,72,23
1234,C,33,64,31
1235,C,49,72,23
1236,C,45,70,25
1237,E,55,75,20
1238,C,43,69,26
1239,E,53,74,21
1240,C,45,70,25
1241,C,49,72,23
1242,C,43,69,26
1243,E,51,73,22
1244,C,47,71,24
1245,C,45,70,25
1246,C,43,69,26
1247,C,47,71,24
1248,C,55,75,20
1249,C,45,70,25
1250,C,43,69,26
1251,C,49,72,23
1252,E,53,74,21
1253,C,39,67,28
1254,C,43,69,26
1255,E,65,80,15
1256,C,39,67,28
1257,C,47,71,24
1258,C,51,73,22
1259,C,47,71,24
1260,C,47,71,24
1261,C,45,70,25
1262,C,41,68,27
1263,E,57,76,19
1264,C,43,69,26
1265,C,41,68,27
1266,C,45,70,25
1267,C,33,64,31
1268,C,47,71,24
1269,E,53,74,21
1270,E,49,72,23
1271,C,45,70,25
1272,C,43,69,26
1273,C,45,70,25
1274,C,41,68,27
1275,C,41,68,27
1276,E,55,75,20
1277,C,45,70,25
1278,E,49,72,23
1279,C,37,66,29
1280,C,51,73,22
1281,C,51,73,22
1282,C,47,71,24
1283,C,51,73,22
1284,C,41,68,27
1285,E,51,73,22
1286,C,47,71,24
1287,C,43,69,26
1288,C,43,69,26
1289,C,43,69,26
1290,E,55,75,20
1291,C,49,72,23
1292,C,51,73,22
1293,C,43,69,26
1294,C,43,69,26
1295,C,41,68,27
1296,C,47,71,24
1297,C,37,66,29
1298,C,41,68,27
1299,C,43,69,26
1300,C,51,73,22
1301,E,63,79,16
1302,C,43,69,26
1303,C,49,72,23
1304,C,41,68,27
1305,C,49,72,23
1306,C,49,72,23
1307,C,47,71,24
1308,E,55,75,20
1309,C,41,68,27
1310,C,39,67,28
1311,E,51,73,22
1312,C,47,71,24
1313,C,41,68,27
1314,E,55,75,20
1315,C,41,68,27
1316,E,57,76,19
1317,C,41,68,27
1318,C,43,69,26
1319,C,47,71,24
1320,C,41,68,27
1321,C,43,69,26
1322,C,39,67,28
1323,C,33,64,31
1324,C,37,66,29
1325,C,45,70,25
1326,C,49,72,23
1327,C,45,70,25
1328,C,43,69,26
1329,E,59,77,18
1330,C,43,69,26
1331,C,41,68,27
1332,C,45,70,25
1333,C,47,71,24
1334,C,45,70,25
1335,C,45,70,25
1336,E,55,75,20
1337,E,51,73,22
1338,C,51,73,22
1339,C,41,68,27
1340,C,45,70,25
1341,C,43,69,26
1342,E,55,75,20
1343,C,51,73,22
1344,E,53,74,21
1345,C,53,74,21
1346,E,55,75,20
1347,C,43,69,26
1348,C,41,68,27
1349,C,45,70,25
1350,E,55,75,20
1351,C,49,72,23
1352,C,45,70,25
