Grupo,Conhecimento_Pct,Erro_Pct,Nota_Media_Final,Ganho_Medio
MULTIPLA_5,0.5,0.05,23.471,4.471
MULTIPLA_5,0.5,0.05,23.304,4.304
MULTIPLA_5,0.5,0.05,24.247,5.247
MULTIPLA_5,0.5,0.05,23.303,4.303
MULTIPLA_5,0.5,0.05,35.103,7.103
MULTIPLA_5,0.5,0.05,24.085,5.085
MULTIPLA_5,0.5,0.05,23.495,4.495
MULTIPLA_5,0.5,0.05,42.969,7.969
MULTIPLA_5,0.5,0.05,22.356,4.356
MULTIPLA_5,0.5,0.05,23.418,4.418
MULTIPLA_5,0.5,0.05,21.87,3.87
MULTIPLA_5,0.5,0.05,22.902,4.902
MULTIPLA_5,0.5,0.05,22.728,3.728
CERTO_ERRADO,0.5,0.05,50.544,-10.456
MULTIPLA_5,0.5,0.05,53.558,10.558
CERTO_ERRADO,0.5,0.05,43.916,-0.084
CERTO_ERRADO,0.5,0.05,30.774,2.774
CERTO_ERRADO,0.5,0.05,30.622,2.622
CERTO_ERRADO,0.5,0.05,29.946,1.946
CERTO_ERRADO,0.5,0.05,29.72,2.72
CERTO_ERRADO,0.5,0.05,29.406,2.406
CERTO_ERRADO,0.5,0.05,29.454,2.454
MULTIPLA_5,0.5,0.05,55.017,11.017
CERTO_ERRADO,0.5,0.05,42.48,-2.52
CERTO_ERRADO,0.5,0.05,28.59,0.59
CERTO_ERRADO,0.5,0.05,23.736,-3.264
CERTO_ERRADO,0.5,0.05,29.668,2.668
CERTO_ERRADO,0.5,0.05,28.12,1.12
CERTO_ERRADO,0.5,0.05,27.616,1.616
CERTO_ERRADO,0.5,0.05,29.78,2.78
CERTO_ERRADO,0.5,0.05,29.884,1.884
CERTO_ERRADO,0.5,0.05,29.846,2.846
CERTO_ERRADO,0.5,0.05,26.044,-0.956
CERTO_ERRADO,0.5,0.05,46.036,2.036
CERTO_ERRADO,0.5,0.05,29.612,2.612
CERTO_ERRADO,0.5,0.05,26.03,1.03
CERTO_ERRADO,0.5,0.05,30.676,2.676
CERTO_ERRADO,0.5,0.05,29.662,2.662
CERTO_ERRADO,0.5,0.05,29.22,2.22
CERTO_ERRADO,0.5,0.05,30.224,2.224
CERTO_ERRADO,0.5,0.05,26.876,-0.124
CERTO_ERRADO,0.5,0.05,23.978,-3.022
CERTO_ERRADO,0.5,0.05,23.622,-2.378
CERTO_ERRADO,0.5,0.05,29.192,2.192
CERTO_ERRADO,0.5,0.05,30.706,2.706
CERTO_ERRADO,0.5,0.05,29.088,2.088
CERTO_ERRADO,0.5,0.05,29.352,2.352
CERTO_ERRADO,0.5,0.05,30.548,2.548
CERTO_ERRADO,0.5,0.05,30.618,2.618
CERTO_ERRADO,0.5,0.05,23.788,-4.212
CERTO_ERRADO,0.5,0.05,28.596,2.596
CERTO_ERRADO,0.5,0.05,12.684,-6.316
CERTO_ERRADO,0.5,0.05,21.278,2.278
CERTO_ERRADO,0.5,0.05,21.448,2.448
CERTO_ERRADO,0.5,0.05,19.298,1.298
CERTO_ERRADO,0.5,0.05,21.476,2.476
CERTO_ERRADO,0.5,0.05,17.432,-1.568
