Concurso,Cargo,Grupo,Conhecimento,Erro,Media_Tecnica,Media_Aleatoria,Ganho_Bruto,Ganho_Percentual,Eficiencia_Media
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.05,25.57,25.200000000000447,3.5700000000000003,0.22312500000000002,0.223125
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.1,24.578,24.200000000000436,3.5779999999999994,0.22362499999999996,0.223625
PC_GO_16,Cargo 1,MULTIPLA_5,0.6,0.2,22.617,22.20000000000041,3.617000000000001,0.22606250000000006,0.2260625
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.05,28.65,28.400000000000468,2.6499999999999986,0.22083333333333321,0.22083333333333324
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.1,27.729,27.400000000000432,2.728999999999999,0.2274166666666666,0.22741666666666654
PC_GO_16,Cargo 1,MULTIPLA_5,0.7,0.2,24.693,24.400000000000304,2.6930000000000014,0.2244166666666668,0.22441666666666674
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.05,31.763,31.599999999999433,1.7630000000000017,0.2203750000000002,0.220375
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.1,29.811,29.59999999999949,1.811,0.226375,0.226375
PC_GO_16,Cargo 1,MULTIPLA_5,0.8,0.2,26.815,26.5999999999996,1.8150000000000013,0.22687500000000016,0.226875
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.05,34.825,34.799999999999685,0.8250000000000028,0.2062500000000007,0.20625
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.1,32.877,32.79999999999949,0.8770000000000024,0.2192500000000006,0.21925
PC_GO_16,Cargo 1,MULTIPLA_5,0.9,0.2,28.91,28.799999999999518,0.9100000000000001,0.22750000000000004,0.2275
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.05,57.796,54.0,3.7959999999999994,0.06544827586206896,0.5327241379310387
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.1,51.078,48.0,3.078000000000003,0.05306896551724143,0.5265344827586238
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.5,0.2,38.272,36.0,2.2719999999999985,0.03917241379310342,0.519586206896554
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.05,66.636,63.0,3.6359999999999957,0.07736170212765948,0.5386808510638289
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.1,59.812,57.0,2.8119999999999976,0.0598297872340425,0.5299148936170209
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.6,0.2,44.868,43.0,1.868000000000002,0.03974468085106388,0.5198723404255325
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.05,75.948,73.0,2.9479999999999933,0.08422857142857124,0.5421142857142865
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.1,67.264,65.0,2.263999999999996,0.06468571428571417,0.5323428571428582
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.7,0.2,50.508,49.0,1.5080000000000027,0.04308571428571436,0.5215428571428573
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.05,86.502,84.0,2.5019999999999953,0.1042499999999998,0.5521250000000005
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.1,75.732,74.0,1.7319999999999993,0.07216666666666664,0.5360833333333334
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.8,0.2,57.33,56.0,1.3299999999999983,0.05541666666666659,0.5277083333333333
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.05,95.604,94.0,1.6039999999999992,0.1336666666666666,0.566833333333333
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.1,85.062,84.0,1.0619999999999976,0.0884999999999998,0.5442499999999999
PM_AL_18_SOLDADO,Cargo 1,CERTO_ERRADO,0.9,0.2,64.568,64.0,0.5679999999999978,0.04733333333333315,0.523666666666666
